protoPayload.status.code,anonymous_principal,timestamp__epoch_s,logName__le,resource.labels.project_id__le,resource.labels.location__le,resource.labels.cluster_name__le,protoPayload.methodName__le,protoPayload.requestMetadata.callerSuppliedUserAgent__le,hour,dayofweek,is_weekend,timestamp_delay_s,anomaly,target
7,0,1720267159.0,3,3,3,0,9,6,11,5,1,127.0,-1,1
0,1,1709697932.0,3,3,5,2,8,6,4,2,0,257.0,-1,1
3,1,1734449091.0,3,3,1,2,14,1,15,1,0,5.0,-1,1
7,1,1733447521.0,3,3,0,2,9,2,1,4,0,86.0,-1,0
13,0,1721470594.0,3,3,1,0,8,7,10,5,1,40.0,-1,0
13,0,1721938892.0,3,3,0,4,13,6,20,3,0,49.0,-1,1
16,0,1721588949.0,3,3,3,6,13,7,19,6,1,64.0,-1,0
7,0,1715301518.0,3,3,1,0,8,6,0,4,0,203.0,-1,1
13,0,1712710484.0,3,3,3,0,13,6,0,2,0,186.0,-1,1
13,0,1727026209.0,3,3,3,2,9,3,17,6,1,55.0,-1,0
16,1,1734578887.0,3,3,5,6,14,6,3,3,0,76.0,-1,1
13,0,1720446400.0,3,3,5,0,14,3,13,0,0,224.0,-1,1
13,0,1734596393.0,3,3,5,2,9,2,8,3,0,50.0,-1,0
0,1,1724050548.0,3,3,1,6,13,1,6,0,0,95.0,-1,0
7,1,1712174566.0,3,3,5,4,14,2,20,2,0,114.0,-1,1
16,0,1714450468.0,3,3,3,5,9,1,4,1,0,87.0,-1,0
7,0,1715788039.0,3,3,0,6,14,7,15,2,0,106.0,-1,1
7,0,1704468978.0,3,3,3,4,12,3,15,4,0,163.0,-1,1
3,1,1716635594.0,3,3,5,0,9,1,11,5,1,115.0,-1,0
16,1,1712685438.0,3,3,1,4,14,1,17,1,0,185.0,-1,0
7,1,1708846344.0,3,3,0,5,8,3,7,6,1,256.0,-1,0
7,1,1704516506.0,3,3,0,5,14,3,4,5,1,92.0,-1,1
7,0,1709713999.0,3,3,0,6,14,1,8,2,0,281.0,-1,1
7,0,1729140749.0,3,3,0,6,9,7,4,3,0,152.0,-1,0
16,0,1705027403.0,3,3,1,6,14,3,2,4,0,159.0,-1,1
3,1,1721134316.0,3,3,3,4,14,7,12,1,0,35.0,-1,1
16,0,1704349534.0,3,3,5,2,12,2,6,3,0,15.0,-1,0
7,1,1713640356.0,3,3,5,4,13,6,19,5,1,97.0,-1,0
7,0,1709374366.0,3,3,3,2,9,3,10,5,1,177.0,-1,1
13,1,1710189363.0,3,3,0,6,9,2,20,0,0,42.0,-1,1
13,0,1712870021.0,3,3,1,2,8,7,21,3,0,287.0,-1,1
16,0,1733267400.0,3,3,1,0,14,6,23,1,0,131.0,-1,0
